City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
82,Nanortalik,60.1432,-45.2371,25.95,75,93,4.47,GL
83,Stodolishche,54.1859,32.6492,23.95,94,100,15.55,RU
84,Rocha,-34.4833,-54.3333,63.43,79,47,11.05,UY
85,Kirkwall,58.9848,-2.9587,41.05,81,75,25.32,GB
86,Verdun,49.25,5.3333,38.16,95,100,4.65,FR
87,Klaksvik,62.2266,-6.589,32.92,71,100,31.72,FO
88,Puerto Escondido,15.85,-97.0667,79.63,73,0,0.0,MX
89,Poum,-20.2333,164.0167,80.53,77,2,6.11,NC
90,Erenhot,43.6475,111.9767,13.77,56,2,7.25,CN
91,Bafq,31.6128,55.4107,46.09,58,9,2.82,IR
92,Gornopravdinsk,60.05,69.9,1.92,92,40,8.34,RU
93,Waingapu,-9.6567,120.2641,86.36,53,63,5.77,ID
94,Yumen,40.2833,97.2,16.11,78,47,2.95,CN
95,Mocuba,-16.8392,36.9856,70.57,94,94,1.9,MZ
96,Bengkulu,-3.8004,102.2655,80.46,75,88,3.2,ID
97,Grakhovo,56.0502,51.9676,-4.68,99,30,4.97,RU
98,Guerrero Negro,27.9769,-114.0611,61.34,69,0,13.87,MX
99,Tasiilaq,65.6145,-37.6368,23.16,68,39,4.21,GL
100,Fortuna,40.5982,-124.1573,48.65,86,100,3.44,US
101,Clarence Town,-32.5833,151.7833,75.15,21,5,8.86,AU
102,Granja,-3.1203,-40.8261,78.75,78,49,5.77,BR
103,Luderitz,-26.6481,15.1594,57.87,76,0,7.23,NA
104,Tiksi,71.6872,128.8694,-6.88,98,100,11.99,RU
105,Albany,42.6001,-73.9662,52.57,87,100,5.99,US
106,Harper,4.375,-7.7169,77.54,87,30,5.39,LR
107,Bilsanda,28.25,79.95,55.47,57,0,4.63,IN
108,Vaini,-21.2,-175.2,84.36,84,75,4.61,TO
109,Maniitsoq,65.4167,-52.9,33.26,77,100,17.67,GL
110,Tucumcari,35.1717,-103.725,48.04,87,0,9.22,US
111,Berlevag,70.8578,29.0864,35.55,69,100,28.77,NO
112,Kurdzhinovo,43.9884,40.9552,35.24,72,77,4.5,RU
113,Chicama,-7.8447,-79.1469,63.14,82,100,5.19,PE
114,Ambilobe,-13.2,49.05,71.56,89,0,2.37,MG
115,East London,-33.0153,27.9116,70.09,82,100,11.3,ZA
116,Ponta Do Sol,32.6667,-17.1,65.71,82,80,16.35,PT
117,Port Augusta,-32.5,137.7667,70.11,28,0,14.43,AU
118,Half Moon Bay,37.4636,-122.4286,52.79,86,0,3.44,US
119,Isangel,-19.55,169.2667,89.71,70,75,4.61,VU
120,La Rioja,42.25,-2.5,38.98,90,81,6.46,ES
121,Ghanzi,-21.5667,21.7833,72.27,59,5,12.39,BW
122,Mahebourg,-20.4081,57.7,76.24,81,32,19.3,MU
123,Ereymentau,51.6199,73.1033,-14.98,100,31,3.36,KZ
124,Yellowknife,62.456,-114.3525,-21.44,74,25,5.01,CA
125,Marrakesh,31.6315,-8.0083,60.87,63,40,4.61,MA
126,Provideniya,64.3833,-173.3,21.36,63,100,11.01,RU
127,Qaanaaq,77.484,-69.3632,14.38,74,100,3.18,GL
128,Avera,33.194,-82.5271,66.54,85,92,5.41,US
129,Rochegda,62.8,43.25,16.2,83,90,7.99,RU
