City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
379,Gualaquiza,-3.4,-78.55,68.59,86,61,2.08,EC,2022-12-05 22:32:39
380,Coolum Beach,-26.5333,153.1,82.11,72,3,5.41,AU,2022-12-05 22:32:40
381,Visby,57.6409,18.296,33.06,100,100,3.44,SE,2022-12-05 22:32:40
382,Pesca,5.55,-73.05,51.04,94,99,2.26,CO,2022-12-05 22:32:41
383,Ibirite,-20.0219,-44.0589,71.11,92,100,5.21,BR,2022-12-05 22:32:41
384,Nuuk,64.1835,-51.7216,45.21,45,75,31.07,GL,2022-12-05 22:32:41
385,Chakradharpur,22.7,85.6333,57.02,42,0,3.83,IN,2022-12-05 22:32:42
386,Necochea,-38.5473,-58.7368,74.05,52,11,6.82,AR,2022-12-05 22:32:42
387,Namatanai,-3.6667,152.4333,82.35,73,98,3.33,PG,2022-12-05 22:32:42
388,Benguela,-12.5763,13.4055,79.02,78,100,5.73,AO,2022-12-05 22:32:43
389,Taoudenni,22.6783,-3.9836,80.13,16,12,5.41,ML,2022-12-05 22:32:43
390,Lake Saint Louis,38.7976,-90.7857,54.19,61,0,6.91,US,2022-12-05 22:32:44
391,Kisangani,0.5167,25.2,68.61,99,100,1.97,CD,2022-12-05 22:32:44
392,Kimamba,-6.7833,37.1333,69.42,78,100,3.4,TZ,2022-12-05 22:32:44
393,Beira,-19.8436,34.8389,78.89,94,20,6.91,MZ,2022-12-05 22:32:45
394,Souillac,-20.5167,57.5167,75.58,88,75,10.36,MU,2022-12-05 22:32:45
395,Faya,18.3851,42.4509,53.71,80,3,3.02,SA,2022-12-05 22:32:45
396,Rafsanjan,30.4067,55.9939,44.51,67,45,2.89,IR,2022-12-05 22:32:46
397,Bilibino,68.0546,166.4372,-8.25,71,100,6.4,RU,2022-12-05 22:32:25
398,Ilhabela,-23.7781,-45.3581,73.13,95,100,9.28,BR,2022-12-05 22:32:46
399,Pasni,25.2631,63.471,73.89,41,0,10.49,PK,2022-12-05 22:32:46
400,Lukiv,51.0521,25.4006,28.44,90,57,11.72,UA,2022-12-05 22:32:47
401,Matipo,-20.2839,-42.3411,66.22,86,100,3.53,BR,2022-12-05 22:32:47
402,Puerto Baquerizo Moreno,-0.9,-89.6,69.62,79,60,11.03,EC,2022-12-05 22:32:48
403,Ust-Omchug,61.15,149.6333,-45.56,100,66,1.23,RU,2022-12-05 22:32:48
404,Kosh-Agach,50.0,88.6667,-11.85,93,14,3.31,RU,2022-12-05 22:32:48
